file_offset,va,has_100_near,has_50_near,has_10_near,has_div_near,has_cmp_near,before_hex,after_hex
991248,0x4f2010,0,0,0,0,0,ff 89 85 95 fd ff ff 89 85 99 fd ff ff 89 85 9d fd ff ff 66 89 85 a1 fd ff ff 88 85 a3 fd ff ff,ff 15 48 f3 52 00 83 e0 01 85 c0 74 16 68 bc 42 55 00 8d 8d 90 fd ff ff 51 e8 e6 9d 03 00 83 c4 08 eb 14 68 c4 42 55 00 8d 95 90 fd ff ff 52 e8 d0 9d 03 00 83 c4 08 6a 00 8d 85 90 fd ff ff 50 8b 8d 4c fd ff ff 81 c1 e8 0b 00 00 e8 06 54 fe ff 89 85 fc fd ff ff 8b 8d fc fd ff ff 51 8b 95
1009810,0x4f6892,1,0,0,1,1,32 7e 0a c7 85 d4 fe ff ff 32 00 00 00 83 bd d4 fe ff ff 0a 7d 0a c7 85 d4 fe ff ff 0a 00 00 00,ff 15 48 f3 52 00 99 b9 64 00 00 00 f7 f9 89 95 d0 fe ff ff 83 7d 08 00 74 1a 8b 85 c8 fe ff ff 69 c0 96 00 00 00 99 b9 64 00 00 00 f7 f9 89 85 c8 fe ff ff 8b 95 d0 fe ff ff 3b 95 c4 fe ff ff 7f 44 8b 85 d0 fe ff ff 3b 85 c8 fe ff ff 7f 0a c7 85 dc fe ff ff 01 00 00 00 83 7d 08 00 74 13
1014608,0x4f7b50,1,0,0,1,0,e8 fe ff ff 89 50 78 8b 8d e8 fe ff ff 83 79 78 00 7d 0d 8b 95 e8 fe ff ff c7 42 78 00 00 00 00,ff 15 48 f3 52 00 99 b9 64 00 00 00 f7 f9 3b 55 fc 7d 20 8b 95 e8 fe ff ff 8b 42 78 d1 e0 8b 8d e8 fe ff ff 89 41 78 c7 85 60 ff ff ff 01 00 00 00 eb 10 8b 95 6c fe ff ff c7 82 b8 01 00 00 00 00 00 00 8b 85 e8 fe ff ff 8b 4d f8 0f af 48 78 8b c1 99 f7 bd a4 fe ff ff 8b 55 f8 03 d0 89 55
1014731,0x4f7bcb,1,0,1,1,0,f8 03 d0 89 55 f8 83 7d f8 00 7d 07 c7 45 f8 00 00 00 00 83 7d f8 50 7e 07 c7 45 f8 50 00 00 00,ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 8b f2 83 c6 64 ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 2b f2 89 b5 9c fe ff ff 8b 95 e8 fe ff ff 8b 42 78 0f af 85 9c fe ff ff 99 b9 64 00 00 00 f7 f9 8b 95 e8 fe ff ff 89 42 78 8b 85 a4 fe ff ff 6b c0 05 99 b9 64 00 00 00 f7 f9 8b 95 e8 fe ff
1014750,0x4f7bde,1,0,1,1,0,83 7d f8 50 7e 07 c7 45 f8 50 00 00 00 ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 8b f2 83 c6 64,ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 2b f2 89 b5 9c fe ff ff 8b 95 e8 fe ff ff 8b 42 78 0f af 85 9c fe ff ff 99 b9 64 00 00 00 f7 f9 8b 95 e8 fe ff ff 89 42 78 8b 85 a4 fe ff ff 6b c0 05 99 b9 64 00 00 00 f7 f9 8b 95 e8 fe ff ff 39 42 78 7d 1a 8b 85 a4 fe ff ff 6b c0 05 99 b9 64 00
1015639,0x4f7f57,1,0,0,1,0,e8 fe ff ff 89 50 78 8b 8d e8 fe ff ff 83 79 78 00 7d 0d 8b 95 e8 fe ff ff c7 42 78 00 00 00 00,ff 15 48 f3 52 00 99 b9 64 00 00 00 f7 f9 3b 55 fc 7d 20 8b 95 e8 fe ff ff 8b 42 78 d1 e0 8b 8d e8 fe ff ff 89 41 78 c7 85 ec fe ff ff 01 00 00 00 eb 10 8b 95 6c fe ff ff c7 82 b8 01 00 00 00 00 00 00 8b 85 e8 fe ff ff 8b 4d f8 0f af 48 78 8b c1 99 f7 bd 98 fe ff ff 8b 55 f8 03 d0 89 55
1015762,0x4f7fd2,1,0,1,1,0,f8 03 d0 89 55 f8 83 7d f8 00 7d 07 c7 45 f8 00 00 00 00 83 7d f8 50 7e 07 c7 45 f8 50 00 00 00,ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 8b f2 83 c6 64 ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 2b f2 89 b5 90 fe ff ff 8b 95 e8 fe ff ff 8b 42 78 0f af 85 90 fe ff ff 99 b9 64 00 00 00 f7 f9 8b 95 e8 fe ff ff 89 42 78 8b 85 98 fe ff ff 6b c0 05 99 b9 64 00 00 00 f7 f9 8b 95 e8 fe ff
1015781,0x4f7fe5,1,0,1,1,0,83 7d f8 50 7e 07 c7 45 f8 50 00 00 00 ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 8b f2 83 c6 64,ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 2b f2 89 b5 90 fe ff ff 8b 95 e8 fe ff ff 8b 42 78 0f af 85 90 fe ff ff 99 b9 64 00 00 00 f7 f9 8b 95 e8 fe ff ff 89 42 78 8b 85 98 fe ff ff 6b c0 05 99 b9 64 00 00 00 f7 f9 8b 95 e8 fe ff ff 39 42 78 7d 1a 8b 85 98 fe ff ff 6b c0 05 99 b9 64 00
1016128,0x4f8140,1,0,0,1,0,69 c9 c8 00 00 00 8b 15 84 0c 83 00 c7 84 0a c0 00 00 00 00 00 00 00 eb a8 c7 45 e0 00 00 00 00,ff 15 48 f3 52 00 99 b9 64 00 00 00 f7 f9 3b 55 f8 7d 07 c7 45 e0 01 00 00 00 8b 95 6c fe ff ff 8b 82 14 0e 00 00 89 45 cc 8b 8d 6c fe ff ff 8b 91 18 0e 00 00 89 95 58 ff ff ff 8b 45 e0 50 8d 8d ec fe ff ff 51 8d 95 60 ff ff ff 52 8b 8d 6c fe ff ff 81 c1 d8 01 00 00 e8 da 58 01 00 8b 85
1025448,0x4fa5a8,0,0,1,1,1,a4 f3 52 00 83 c4 08 85 c0 75 02 eb 02 eb cb c7 45 e8 ff ff ff ff 83 7d e4 07 0f 84 e4 01 00 00,ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 83 fa 07 0f 8d cd 01 00 00 83 7d e4 05 0f 8f e4 00 00 00 c7 45 e4 00 00 00 00 eb 09 8b 55 e4 83 c2 01 89 55 e4 83 7d e4 03 0f 8d c3 00 00 00 8b 45 e4 8b 8d d8 fb ff ff 83 bc 81 a0 01 00 00 00 0f 84 a7 00 00 00 8d 95 84 fe ff ff 52 8b 45 e4 8b 8d
1026054,0x4fa806,0,0,0,0,1,00 00 8b 41 68 3b 42 6c 74 09 8b 4d e4 83 c1 01 89 4d e4 eb ab 83 7d e4 00 75 05 e9 db 01 00 00,ff 15 48 f3 52 00 99 f7 7d e4 89 55 e4 c7 45 e8 00 00 00 00 eb 09 8b 55 e8 83 c2 01 89 55 e8 83 7d e8 03 7d 3b 8b 45 e8 8b 8d d8 fb ff ff 8b 94 81 a0 01 00 00 8b 45 e8 8b 8d d8 fb ff ff 8b 84 81 a0 01 00 00 8b 4a 68 3b 48 6c 74 11 83 7d e4 00 75 02 eb 0b 8b 55 e4 83 ea 01 89 55 e4 eb b6
1028856,0x4fb2f8,1,0,0,1,0,00 00 00 0f 8c 15 07 00 00 8b 95 d8 fb ff ff 8b 82 04 0d 00 00 2d c8 00 00 00 89 85 70 fe ff ff,ff 15 48 f3 52 00 99 b9 64 00 00 00 f7 f9 89 95 6c fe ff ff 8b 95 70 fe ff ff 89 95 c4 fb ff ff 8b 85 c4 fb ff ff 83 e8 2c 89 85 c4 fb ff ff 83 bd c4 fb ff ff 0c 0f 87 bd 06 00 00 8b 8d c4 fb ff ff ff 24 8d 88 e9 4f 00 83 bd 6c fe ff ff 32 7d 77 6a 01 6a 01 6a 05 8b 95 d8 fb ff ff 8b 82
1031765,0x4fbe55,1,0,0,1,0,ff 8b 84 82 a0 01 00 00 8b 89 a4 23 54 00 3b 88 a8 00 00 00 7d 0a c7 85 5c fe ff ff 14 00 00 00,ff 15 48 f3 52 00 99 b9 64 00 00 00 f7 f9 3b 95 5c fe ff ff 7d 6c 6a 01 6a 00 6a 05 8b 95 d8 fb ff ff 8b 82 ac 13 00 00 8b 8d d8 fb ff ff 8b 8c 81 a0 01 00 00 e8 00 d9 00 00 8b 95 d8 fb ff ff 8b 82 ac 13 00 00 8b 8d d8 fb ff ff 8b 94 81 a0 01 00 00 c7 82 a4 00 00 00 00 00 00 00 8b 85 d8
1036875,0x4fd24b,0,0,0,1,0,95 44 fe ff ff 8b 85 d8 fb ff ff 8b 8c 90 ac 01 00 00 8b 91 bc 01 00 00 89 95 24 fc ff ff eb 2b,ff 15 48 f3 52 00 8b 8d 44 fe ff ff 8b 95 d8 fb ff ff 8b 8c 8a ac 01 00 00 8b 89 bc 01 00 00 83 c1 01 99 f7 f9 89 95 24 fc ff ff c7 85 20 fc ff ff 00 00 00 00 eb 0f 8b 95 20 fc ff ff 83 c2 01 89 95 20 fc ff ff 8b 85 44 fe ff ff 8b 8d d8 fb ff ff 8b 94 81 ac 01 00 00 8b 85 20 fc ff ff 3b
