relative_path,name,extension,size,first16_hex,ascii_ratio,entropy,u16_small_count_first512,u16_small_mode_first512,u16_first32
Creature\sn015.lss,sn015.lss,.lss,362380,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3231,6.6358,84,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 10766 16823 5 0 28757 25968
Creature\sn015226.lss,sn015226.lss,.lss,155532,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3171,6.5665,84,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 10766 16823 5 0 28757 25968
Creature\sn016.lss,sn016.lss,.lss,201536,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3142,6.4919,77,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 42863 16824 5 0 28757 25968
Creature\sn016226.lss,sn016226.lss,.lss,160124,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3137,6.5057,77,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 42863 16824 5 0 28757 25968
Creature\sn017.lss,sn017.lss,.lss,626296,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3386,6.7538,72,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 65440 16824 5 0 28757 25968
Creature\sn017064.lss,sn017064.lss,.lss,456108,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3357,6.7519,72,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 65440 16824 5 0 28757 25968
Creature\sn017065.lss,sn017065.lss,.lss,92720,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3087,6.4053,72,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 65440 16824 5 0 28757 25968
Creature\sn017072.lss,sn017072.lss,.lss,78292,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2972,6.2795,72,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 65440 16824 5 0 28757 25968
Creature\sn018.lbc,sn018.lbc,.lbc,170796,4c 42 43 00 01 00 00 00 33 33 33 3f 33 33 33 3f,0.2561,5.826,53,0,16972 67 1 0 13107 16179 13107 16179 13107 16179 0 16256 0 16256 0 16256 0 0 0 0 0 0 0 0 0 0 0 0 0 16800 1 0
Creature\sn018box.lbc,sn018box.lbc,.lbc,1161063,4c 42 43 00 00 00 00 00 4f 00 00 00 06 5f 62 6f,0.1828,2.9887,124,0,16972 67 0 0 79 0 24326 28514 12408 49 0 0 61440 25281 23813 65345 65535 511 0 0 0 0 0 256 0 2048 0 0 49152 191 49152 191
Creature\sn018cam.lbc,sn018cam.lbc,.lbc,20682,4c 42 43 00 00 00 00 00 01 00 00 00 05 5f 42 6f,0.2605,6.0409,146,0,16972 67 0 0 1 0 24325 28482 25464 0 0 0 0 0 0 65535 65535 1 0 0 0 0 0 1 0 8 0 0 49184 0 49184 0
Creature\sn020.lss,sn020.lss,.lss,193392,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3133,6.5138,76,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 11881 16825 5 0 28757 25968
Creature\sn023.lss,sn023.lss,.lss,97420,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3051,6.4033,73,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 44163 16828 5 0 28757 25968
Creature\sn023271.lss,sn023271.lss,.lss,89776,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3028,6.3672,73,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 44163 16828 5 0 28757 25968
Creature\sn023272.lss,sn023272.lss,.lss,89776,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3028,6.3672,73,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 44163 16828 5 0 28757 25968
Creature\sn024.lss,sn024.lss,.lss,316192,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.32,6.6206,76,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 57500 16825 5 0 28757 25968
Creature\sn025.lss,sn025.lss,.lss,257172,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3179,6.5911,76,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 57500 16825 5 0 28757 25968
Creature\sn026.lss,sn026.lss,.lss,286084,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3216,6.5956,71,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 64114 16824 5 0 28757 25968
Creature\sn027.lss,sn027.lss,.lss,318600,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3185,6.6113,76,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 57500 16825 5 0 28757 25968
Creature\sn028.lss,sn028.lss,.lss,100556,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3084,6.4189,76,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 57500 16825 5 0 28757 25968
Creature\sn029.lss,sn029.lss,.lss,92884,a9 1a 00 00 17 00 00 00 00 00 00 00 01 00 00 00,0.3254,6.6012,63,0,6825 0 23 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 58524 16823 3 0 28757 25968
Creature\sn031.lss,sn031.lss,.lss,24552,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2328,5.0793,76,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 57500 16825 5 0 28757 25968
Creature\sn031001.lss,sn031001.lss,.lss,69316,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3166,6.5084,76,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 57500 16825 5 0 28757 25968
Creature\sn032.lss,sn032.lss,.lss,29216,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2326,5.0888,75,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 42863 16824 5 0 28757 25968
Creature\sn032001.lss,sn032001.lss,.lss,31156,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2373,5.2026,75,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 42863 16824 5 0 28757 25968
